index,Name of movie,Year of release,Watchtime (mins),Movie Rating,Metascore,Votes,Gross Collection,Partial_url,complete url,Poster,Trailer,Tags,Storyline,Cast,Similar Movies
12,Dancer in the Dark,2000,140 ,7.9,61,"112,824",$4.18M,/title/tt0168629/,https://www.imdb.com/title/tt0168629/,https://www.imdb.com//title/tt0168629/mediaviewer/rm2533562368/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3164602649/1434659607842-pgv4ql-1563468368537.mp4?Expires=1683977312&Signature=GaWlMpC724i8I1JV0lFikI8MW8dDdi7~3qQqnaZm5FrnZru8oHlg38muQz6ZYsLVkKg6Zno~ULqjKiXor8aj9dTPgvF2U3~38VPiEBJvcN44N4UhCGpziO2fkKSw6TbXsB5tmqmv8mDhJPM3Cx~qTL43YHGIfVVpQbaSlcleOGogF7m1Ll8XLCtW~~DK4B-JLH60U-7N4pYk0tuqliycQgk17uYR6hsKu5gi5lhx0omvsfBa7ESMpCCVOio9fh1RbFDftgSuC0aMdiBWOwko8LYSVmKd6yOMtRN38CSJh~bRgHpxWbY-Ne0czLUdoumQwfRtCOuWspNEstwg9v1fAA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,CrimeDramaMusical,"Lars von Trier has said that each morning before filming, Björk would say ""Mr. von Trier, I despise you,"" and spit at him.",BjörkSelma JezkovaCatherine DeneuveKathyDavid MorseBill HoustonPeter StormareJeffJoel GreyOldrich NovyCara SeymourLinda HoustonVladica KosticGene JezekJean-Marc BarrNormanVincent PatersonSamuelSiobhan Fallon HoganBrenda(as Siobhan Fallon)Zeljko IvanekDistrict AttorneyUdo KierDr. PorkornyJens AlbinusMortyReathel BeanJudgeMette BerggreenReceptionistLars Michael DinesenDefense Attorney…Katrine FalkenbergSuzan…Michael FlessasAngry Man,    0Dogville      Breaking the Waves      Melancholia      Antichrist      The Idiots      The House That Jack Built      Europa      Manderlay      The Piano Teacher      Irreversible      The Boss of It All      The Element of Crime
13,28 Days,2000,103 ,6.1,46,"51,987",$37.17M,/title/tt0191754/,https://www.imdb.com/title/tt0191754/,https://www.imdb.com//title/tt0191754/mediaviewer/rm3077183488/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2301297433/1434659607842-pgv4ql-1564116920536.mp4?Expires=1683977317&Signature=RBIFJ0o~eWc4hUtMCzTWX7uA0AXqtTKK2mkrn9zGzZXs2VdXBRjnBwUxmwGk0AE~scKdd5iG0frxzsOP8qBCB4YEXE~XpLIHCH7CDgvMWns~1-NfAren6s7O~ddAHkRp3gJgtKsSynwsvwGLiXAeSY~URcVj6qzpbaGj-GSqfPvf8yZb5tCYrRnAErl41Lvfax7eEW9LF-qvLdUOqN-8AdAYsZAQRQunYTwae0BgMyRTj-ilXymg0a6g9NvsCzGGB2cp~p7z2jBekaQUd9X~ol-oIYLLB5oRoHNluSIP2sYKsw8OFTxF1PZXIwU8E7eMrCsz64OyY9~xe5sHMfvw3w__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,ComedyDrama,Sandra Bullock would drink a triple espresso before any scene that required her character to have uncontrollable shakes.,Sandra BullockGwen CummingsViggo MortensenEddie BooneDominic WestJasperElizabeth PerkinsLilyAzura SkyeAndreaSteve BuscemiCornellAlan TudykGerhardtMike O'MalleyOliver(as Michael O'Malley)Marianne Jean-BaptisteRoshandaReni SantoniDanielDiane LaddBobbie JeanMargo MartindaleBettySusan KrebsEvelynLoudon Wainwright IIIGuitar GuyKatie ScharfYoung GwenMeredith DeaneYoung LilyElizabeth RuscioMomKathy PayneAunt Helen,    0Hope Floats      Forces of Nature      Two Weeks Notice      The Lake House    0The Net      Miss Congeniality      While You Were Sleeping      Practical Magic      Miss Congeniality      Armed & Fabulous      Murder by Numbers      Premonition           Days Later
14,Mission to Mars,2000,114 ,5.6,34,"74,868",$60.88M,/title/tt0183523/,https://www.imdb.com/title/tt0183523/,https://www.imdb.com//title/tt0183523/mediaviewer/rm674372353/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi52215321/1434659607842-pgv4ql-1593609147008.mp4?Expires=1683977323&Signature=XEOgfjIA4D3HC-EZ~yL3Yt2jNXwUT5OuPKUj4LiHgBTp0x0RdlnCvn9cptL48SGglbG7~0WImL8V6ZEHMwa1q~qK8m-Xn7~l2Lel8tyExh4mCRct7hgxGlA4ET1-YyFBWHCLKWaUqR7oSkvg5DKjlCrgrkmKYeFO~LQoR8Q8CTvPiOlsUL~NbrMSIyQP6MTjCuYHwwsOg5CGg0MHkRf9o7AOTHWPCy734q2DPi6Nimd5PxY0E5nofN4nTwfsqyoYMaxUOU3oAtSYf9cZtMXlqsMqDOtWVOEZBX2JKtRRW~UNF9O-oZtVpYtk2l5XZnIVAbbstr1GhItGax5xXAm8WQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,AdventureSci-FiThriller,The filmmakers created the Martian landscape in a massive sandpit near Vancouver. It was one of the biggest sets ever constructed for a movie - around two million square feet.,Tim RobbinsWoody BlakeGary SiniseJim McConnellDon CheadleLuke GrahamConnie NielsenTerri FisherJerry O'ConnellPhil OhlmyerPeter OuterbridgeSergei KirovKavan SmithNicholas WillisJill TeedReneé CotéElise NealDebra GrahamKim DelaneyMaggie McConnellMarilyn NorryNASA WifeFreda PerryNASA WifeLynda BoydNASA WifePatricia HarrasNASA WifeRobert Bailey Jr.Bobby GrahamChaynade KnowlesChild at PartyJeffrey BallardChild at Party(as Jeff Ballard)Anson WoodsChild at Party,      Red Planet      Femme Fatale      Redacted      Snake Eyes    0Raising Cain      Domino      The Black Dahlia      Passion      Casualties of War      The Bonfire of the Vanities      Sphere      Wise Guys
15,Ginger Snaps,2000,108 ,6.8,70,"49,343",$0.00M,/title/tt0210070/,https://www.imdb.com/title/tt0210070/,https://www.imdb.com//title/tt0210070/mediaviewer/rm4024755456/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1588199705/1434659607842-pgv4ql-1563426988622.mp4?Expires=1683977329&Signature=LOiqcTQWcprfuOA87xb5keJc6N9P5Ad2GThqXSjtkrCwNf1eYuZYNmyeu3t-Bxsmw5Nexxq-XO2HdVN~UnD3TO3s318Ybb~MjpMDvMv0MS9de9LYc8fof-sANeizIGU~fatr5jEJ7W2XSgvEsKJWPrs-~W5dRcDk3uCmx9SiK6Jsn2sJLfcOsXZYvzGibU4JmlMgrpW-mYf7~1rfmDZ5AqvzMKtrYPdHhfpMv7vsJ84W7Z2vQRWywNubUeaXa230vlXgasF-uKEqD7cCQ2hPhFKcrLN7m~y2rs91-lomvzYy0wgt6ruZY9oVrfAgHhaFf4HC8edCuNkSr7Tqx~58LA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,DramaFantasyHorror,"Along with the coincidence of stars Katharine Isabelle and Emily Perkins auditioning on the same day, the two actresses were also born in the same hospital, attended the same preschool, elementary school, and private school, worked through the same talent agency, and both guest starred on the show Supernatural.",Emily PerkinsBrigitteKatharine IsabelleGingerKris LemcheSamMimi RogersPamelaJesse MossJasonDanielle HamptonTrinaJohn BourgeoisHenryPeter KeleghanMr. WayneChristopher RedmanBenJimmy MacInnisTimLindsay LeeseNurse FerryWendii FulfordMs. SykesAnn BaggleyMotherGraeme RobertsonToddlerMaxwell RobertsonToddlerPak-Kwong HoJanitor(as Pak-Kong Ho)Bryon BullyHockey KidSteven TaylorPuppy Kid,"      Ginger Snaps      Unleashed      Ginger Snaps Back   The Beginning      May      American Mary      Ginger Snaps   Blood, Teeth and Fur      The Craft      Dog Soldiers      Ginger Snaps      Unleashed - Deleted Scenes      The Faculty      Trick 'r TreatGinger Snaps Back   The Beginning - Deleted Scenes      Slither"
16,Boiler Room,2000,120 ,7.0,63,"54,795",$16.94M,/title/tt0181984/,https://www.imdb.com/title/tt0181984/,https://www.imdb.com//title/tt0181984/mediaviewer/rm2493188096/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1622868249/1434659607842-pgv4ql-1564464552223.mp4?Expires=1683977335&Signature=g5eDb8DcVJSBQGBHWnfNxeYH~C95XB-24HA3jrg6njauMeARWIPi~kfx5pt74cJk04ILTnPsODzybk6gs3t4-cuty7eKePy17ohBcAXCWwwQh7mtQLjdVn0nkWtyBVUQS17n~iw6Bgm~C-SXrGwjQfr-Z-67U-ygSLqNlBzC8dpWu~Bc7ilXkFehvOHKt4MHEPNV4V4aEniek3g1tJXMrV9-MFFCky6JNrLy64FIr5XJOVMdGSutfipmClCOK5akhsE9NhLd5fi~J-0MXmkpUzyMggCb1zOtTXrI4Pf2B0CWj7owSlIC0RC7JIt9W7i466Ww32XNySHGmRJD6i6bjg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,CrimeDramaThriller,"The plot of the movie is loosely inspired in the life of Jordan Belfort, whose biography was later depicted by Martin Scorsese in The Wolf of Wall Street (2013).",Giovanni RibisiSeth DavisVin DieselChris VarickNia LongAbbie HalpertNicky KattGreg WeinsteinScott CaanRichie O'FlahertyRon RifkinJudge Marty DavisJamie KennedyAdamTaylor NicholsHarry ReynardBill SageFBI Agent David DrewTom Everett ScottMichael BrantleyBen AffleckJim YoungJohn GriesemerConciergeDavid YoungerMarcHerbert RussellKid(as Russell Harper)Mark WebberKidChristopher FitzgeraldKidDonna MitchellMrs. DavisAndré VippolisNeil Davis,      Wall Street      Rounders      Wall Street   Money Never Sleeps      Margin Call      Boiler Room      Glengarry Glen Ross      Too Big to Fail      Inside Job      Rogue Trader      Lost in Hollywood      Reindeer Games      Strays
17,Battlefield Earth,2000,118 ,2.5,9,"81,380",$21.47M,/title/tt0185183/,https://www.imdb.com/title/tt0185183/,https://www.imdb.com//title/tt0185183/mediaviewer/rm379436033/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1404633369/1434659607842-pgv4ql-1564495631823.mp4?Expires=1683977341&Signature=TG~WTzRo-iad5cEe6No25HiIHJXZdEVTW9M9ukRWE44NtBocd42qDZLQujwrSVUsDVjY3TC4AvBfD7qIkisXKIHBTpMmVZAwQGsYf6dq5z17KmmOdKzekrrQv7~u6IRw5o~f~9sTMTWUnmWZ7dfyc5LFhaYEdveLYThGqJelKFOrnIXQt6q9921jdkeg7PCynpQYdT0iSrwoV~kVjtSuxUgv~Sc-ZN67HCvQ9VUoRhzpmDkHtb9zMJ30TWOksyJSODsg5ib50BB-R4jYxr6ry2lqT0Z17do7vOS75olzPRvIWeE7xzKQ~UzLhdhYHsqyfAA0RBmIoN19eQ5xiaOMBw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,ActionAdventureSci-Fi,Forest Whitaker expressed his regret for participating in this movie.,John TravoltaTerlForest WhitakerKerBarry PepperJonnie Goodboy TylerKim CoatesCarloSabine KarsentiChrissyMichael ByrneParson StafferChristian TessierMickeySylvain LandrySammyRichard TysonRobert the FoxChristopher FreemanProcessing ClerkJohn ToporProcessing Clerk…Shaun Austin-OlsenPlanetshipTim PostAssistant Planetship…Earl PastkoBartenderMichel PerronRockMichael MacRaeDistrict Manager ZeteTodd McDougallPsychlo WranglerDerrick Damon ReevePsychlo Hoser,      Pledge This!      Alone in the Dark      From Justin to Kelly      The Hottie & the Nottie      House of the Dead      Manos   The Hands of Fate      Turks in Space      Going Overboard      Epic Movie      Birdemic   Shock and Terror      Daniel the Wizard      Elemental
18,Romeo Must Die,2000,115 ,6.1,52,"71,895",$55.97M,/title/tt0165929/,https://www.imdb.com/title/tt0165929/,https://www.imdb.com//title/tt0165929/mediaviewer/rm2500433920/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3632529689/1434659607842-pgv4ql-1563511235415.mp4?Expires=1683977009&Signature=q9pWJStaSqjaYzDAJLVKQMOY-LSfrYz3s7YbRTPP5w5oV0i6FNpYiJJxf9aNt2WPEj5cN1A7~-mo-eZh~sHtEACCQucZrw-ZCvwSThLEtILlnu6hFv58GIuGFdg98OyF3biiBI71RvlpvqqMVCqyg0rO30w607Hz93xsFT95bIChiKbm5kQ5mtv9cMIA4-EHwEsVDEC2EU6XUKt5GZ3pAWonGsJWAmgdv0-Rs2hfWh~5ZGehq1JsmlcC4wLa98ch0Vrs0Imjz~g3ZYvhjNZeut3bQ~6xcu63A7qIrTVTOqyQE~DEUD7ldPKmBfE7QW-OiMdZ1Aw2lDbhvgpzEz~i1g__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,ActionCrimeThriller,Jet Li came up with the idea to have Aaliyah fight the lady on the motorcyle during the chase scene.,Jet LiHan SingAaliyahTrish O'DayIsaiah WashingtonMacRussell WongKaiDelroy LindoIsaak O'DayD.B. WoodsideColin(as DB Woodside)Henry OCh'u SingJon Kit LeePo SingEdoardo BalleriniVincent RothAnthony AndersonMauriceDMXSilkMatthew HarrisonDaveTerry ChenKungDerek LoweChinese MessengerRonin WongNew PrisonerByron LawsonHead GuardKendall SaundersColin's GirlfriendBenz AntoineCrabman,      Cradle    the Grave      Kiss of the Dragon    0Unleashed      The One      Fearless      War    0Black Mask      Fist of Legend      Exit Wounds      The Forbidden KingdomRomeo Must Die Again      Hero
19,Shanghai Noon,2000,110 ,6.6,77,"130,890",$56.94M,/title/tt0184894/,https://www.imdb.com/title/tt0184894/,https://www.imdb.com//title/tt0184894/mediaviewer/rm3130956032/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi12763417/1434659607842-pgv4ql-1605229495736.mp4?Expires=1683977352&Signature=VJrj3ufjTAoI0UACe5Py9BrbWtkPKb5ZCNo64JeN9b3niEfUiBJCe6PHILkS6CTHi77aQDvd977vhf6gjlRvrAUeOacoqPjCb9K5Jd-Tweuv1ogQEk6w9fXoWTQ2L7NygeuxbxpQUtX3PqkHD~RPBEC3WEmjzyAUyaAS5pCiXk7t5-OCzbrx4KTWbzzsLbK9FsOHdWWSOLILPvkJFPYKNyekjrSKDxZQR1hWIyIQKg6FAPRjvY7vdDQaLcG5W~sinTxezhvnkoTLDmUJMSsYnEz9knFG-poIXf5O2sHl0OzYnhvaGQE3Pbt57xcDawzUDWqrtS9hhghGUjeDLlw8ug__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,ActionAdventureComedy,"The English translation of the drinking game song is: One crab with eight feet, painted horns - what a big crab./ Blinking eyes, shrinking head,/ crawling, crawling everywhere./ Two and Two, who should drink?/ Three and three, who drink first?/ Five and Five, who should drink?/ Two and two, you drink first.",Jackie ChanChon WangOwen WilsonRoy O'BannonLucy LiuPrincess Pei PeiBrandon MerrillIndian WifeRoger YuanLo FongXander BerkeleyVan CleefRongguang YuImperial Guard(as Rong Guang Yu)Cui Ya HuiImperial Guard(as Cui Ya Hi)Eric ChenImperial Guard(as Eric Chi Cheng Chen)Jason ConneryAndrewsWalton GogginsWallaceAdrien DorvalBlue(as P. Adrien Dorval)Rafael BáezVasquezStacy GrantHooker in DistressKate LuybenFifiHenry ORoyal InterpreterRussell BadgerSioux Chief(as Russel Badger)Simon BakerLittle Feather,      Shanghai Knights      Rush Hour       0Rush Hour      Rush Hour         Who Am I?      The TuxedoShanghai Dawn      The Medallion      Rumble in the Bronx      The Legend of Drunken Master      Johnny English      Mr   Nice Guy
20,Big Momma's House,2000,99 ,5.2,33,"87,916",$117.56M,/title/tt0208003/,https://www.imdb.com/title/tt0208003/,https://www.imdb.com//title/tt0208003/mediaviewer/rm613814016/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1589248281/1434659607842-pgv4ql-1563642216984.mp4?Expires=1683977356&Signature=GlcFdt~7OD3Keb2Z3cA2YyB3KnFzs4A4C9R~K3gThtItG00Eaof-2W-cEo659vLZI-637vDChNQTJok7mYCxlOgtDVMnbjVigU8tjcjKTVGP6Zh5KdHiFBOWTPMpHp19x2Ef3v5MydDShkf~yTioikI8UUvlhy2f9NEouNBti8KLsQ9-4-W4xLJF-fKYGNKWPKKzKNRZqdSVOnYpF0McJg5l8qPgCVz4L5pj4eTHE7udGz0Zk1zf95Lg8Ho4KxM9qCTQIMWI7Fko5RY4FgqqVtqtK-uoDC1k1VDh9H~TFRci-dX~ynRsPfruzlIOnRSsh5-OxK0YE30LzEhKrpAf1A__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,ActionComedyCrime,"Nia Long was in talks to join the cast of Charlie's Angels (2000). She was persuaded to join this film upon receiving a bunch of roses with the attached note ""Come to us where you'll be the only angel.""",Martin LawrenceMalcolm TurnerNia LongSherry PiercePaul GiamattiJohnJascha WashingtonTrent PierceTerrence HowardLester Vesco(as Terrence Dashon Howard)Anthony AndersonNolanElla MitchellHattie Mae Pierce (Big Momma)Carl WrightBen RawleyPhyllis ApplegateSadieStarletta DuPoisMiss PattersonJessie Mae HolmesMiss Other PattersonNicole PrescottLenaOctavia SpencerTwila(as Octavia L. Spencer)Tichina ArnoldRithaCedric the EntertainerReverendPhilip TanKangEdwin HodgeBasketball Teen #1Aldis HodgeBasketball Teen #2,"      Big Momma's House         Big Mommas   Like Father, Like Son      National Security      Blue Streak      The Nutty Professor      Norbit      Black Knight      White Chicks      Little Man      Big Mama      Bad Boys      Bad Boys II"
21,Keeping the Faith,2000,128 ,6.4,60,"52,589",$37.05M,/title/tt0171433/,https://www.imdb.com/title/tt0171433/,https://www.imdb.com//title/tt0171433/mediaviewer/rm3823804160/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3396189721/1434659607842-pgv4ql-1596809990748.mp4?Expires=1683977362&Signature=MFBAqSU-FrB1afEgM-Z4xLxC0-XQE4W9e-KpvM6tOwQ3Loxxxwh5vEmrrzPIk3zAzsIhrwKSdJ0aC7dB9Zd2ftk3mESBKg8O~53fxgGGDGDjF5IeUVwRM3acIJ6zjmYGXejv3srda2rHEpIE4X6G-~hKrnjohIORgeivWOJpDMPCQ99iwm2JmxWB7Hrxsx7~DrE4rK2xUSvqPmQkHkXqWoqTRto-sYf5Y9qPdv~sXMg3uVYXuLtJxiDX~GmMFp2RVb~fg-c-8qYfoSu95JdxNMwk3FH0shEDejfux6hAcBdQ6jR0TY8s7s7A6AaOWzQgiIOCYQOhPIMaMwHaoJE-Ag__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,ComedyDramaRomance,Dedicated to star Edward Norton's late mother Robin Norton.,Ben StillerRabbi Jake SchramEdward NortonFather Brian FinnJenna ElfmanAnna RileyAnne BancroftRuth SchramEli WallachRabbi Ben LewisRon RifkinLarry FriedmanMilos FormanFather HavelHolland TaylorBonnie RoseLisa EdelsteinAli DeckerRena SoferRachel RoseKen LeungDonBrian GeorgePaulie ChopraCatherine Lloyd BurnsDebbieSusie EssmanEllen FriedmanStuart BlumbergLenSamuel GoldbergTeenage Jake Schram(as Sam Goldberg)Michael Charles RomanTeenage Brian Finn(as Michael Roman)Blythe AuffarthTeenage Anna Riley,      Death to Smoochy      Leaves of Grass      Edtv      The People vs   Larry Flynt      The Score      Down in the Valley          th Hour      Rounders    0Along Came Polly      Only in America      Duplex      Nurse Betty
22,Quills,2000,124 ,7.2,70,"55,446",$7.06M,/title/tt0180073/,https://www.imdb.com/title/tt0180073/,https://www.imdb.com//title/tt0180073/mediaviewer/rm3187723009/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi513671449/1434659607842-pgv4ql-1563724585003.mp4?Expires=1683977366&Signature=DgMnxryKcIbIR9TPmUbCa7Qk-puUiSgyb5wyR8XLPnz2gE6vJRZHppSpp63SxNeowF2560V2yc~XX91mjDrFKxhQo3M2QsMefXzx5vXJKCMHFNL68CKPY~tNgvotbUkpdFMLSBHORxKJU5Tv965WiCvivgFG~2sYkSBogv44vpJZWWsrBAjliZySi8jgBYi7u4ALmZymrXpuIMZBcqdaOeU-7NaKuWRAd1DEhroGmt4DBHGztCR-MhrnNe3W9Kc4S3aoMkr6z-ElAkIlumq-may4TJxnXksltU87Aw1Aco0dlLwDYXEUVujkwA-K0Qdil7-qwuijTnVp6gOd5ye~1Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,BiographyDrama,"Geoffrey Rush's real-life wife, Jane Menelaus, played de Sade's wife.",Geoffrey RushThe Marquis de SadeKate WinsletMadeleineJoaquin PhoenixCoulmierMichael CaineRoyer-CollardBillie WhitelawMadame LeClercPatrick MalahideDelbenéAmelia WarnerSimoneJane MenelausRenee PelagieStephen MoyerProuixTony PritchardValcourMichael JennCleanteDanny BabingtonPitouGeorge AntoniDauphin(as George Yiasoumi)Stephen MarcusBouchonElizabeth BerringtonCharlotteEdward Tudor-PoleFranvalHarry JonesOrvolleBridget McConnellMadame Bougival(as Bridget McConnel),      Little Children      The Unbearable Lightness of Being      Shine      The Reader      Notes on a Scandal      Elizabeth      Heavenly Creatures    0Iris      Henry & June    0Hideous Kinky      Jude      Holy Smoke
23,Thirteen Days,2000,145 ,7.3,67,"60,368",$34.59M,/title/tt0146309/,https://www.imdb.com/title/tt0146309/,https://www.imdb.com//title/tt0146309/mediaviewer/rm1429355008/?ref_=tt_ov_i,,DramaHistoryThriller,President John F. Kennedy very frequently set up recording machines during meetings at the White House. Much of the dialogue from the movie is taken directly from Kennedy's tapes.,"Kevin CostnerKenny O'DonnellBruce GreenwoodJohn F. KennedyShawn DriscollU-2 PilotDrake CookMark O'DonnellLucinda JenneyHelen O'DonnellCaitlin WachsKathy O'DonnellJon FosterKenny O'Donnell, Jr.Matthew DunnKevin O'DonnellKevin O'DonnellNPIC Photo InterpreterJanet ColemanEvelyn LincolnBruce ThomasFloydStephanie RomanovJacqueline KennedyFrank WoodMcGeorge BundyDakin MatthewsArthur LundahlLiz SinclairKenny's Assistant #1Colette O'ConnellKenny's Assistant #2Karen LudwigOperator MargaretAudrey RapoportWhite House Operator #1",    0JFK      No Way Out      Open Range      Tin Cup      The Postman      Mr   Brooks      A Perfect World      For Love of the Game      The Guardian      Swing Vote      McLaren      Wyatt Earp
