index,Name of movie,Year of release,Watchtime (mins),Movie Rating,Metascore,Votes,Gross Collection,Partial_url,complete url,Poster,Trailer,Tags,Storyline,Cast,Similar Movies
37,Gossip,I 2000,90 ,5.9,31,"17,037",$5.11M,/title/tt0176783/,https://www.imdb.com/title/tt0176783/,https://www.imdb.com//title/tt0176783/mediaviewer/rm609620737/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3987341593/1434659607842-pgv4ql-1564099369449.mp4?Expires=1683977442&Signature=g4dnM3dTSJEvU~igcOjR5btueD9FComkHqA3-rtO4wb46jb1JzMyWbc89iC3onjUGw0lDoRHuwrG3Dg4ZE8OPWk7TqXYGqZJFp60fP3UIfwZWbqZc8YXmFnxpSLwY8FKgNUMSJ1by1X~ZgFZAkEcxIdGtMVnKcVaO3ZBnU2JmbfPUWsDxo4t7weVLF2E-CfJuV1UQELIiJLkt4bU1XF~cTRsjyHTk6x1Nvixuhr2aJOclbJaclWb55h8kJYHnjeSbKt2YXxW0y~HY9reVAPkDkezGVl1oHXsHy8Rh16~hg2h3wd~Ul-kao-cRJnIlKgoZ4yxMeGWjJuD~UN7l8Ad9w__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,DramaMysteryThriller,The university that the students attend was also used as the setting for several other films including Urban Legend (1998) and The Skulls (2000). Coincidentally all three films starred Joshua Jackson.,James MarsdenDerrick WebbLena HeadeyCathy JonesNorman ReedusTravisKate HudsonNaomi PrestonEric BogosianProfessor GoodwinEdward James OlmosDetective CurtisJoshua JacksonBeau EdsonSharon LawrenceDetective KellyMarisa CoughlanSheilaKwok-Wing LeungChinese ManMifDoormanPoeFemale SingerVicky LambertClub DancerKenya MasseyClub DancerNoam JenkinsBartenderStephanie Anne MillsRebecca Lewis(as Stephanie Mills)Raven DaudaAndreaKristin BoothDiane,      Disturbing Behavior      Teaching Mrs   Tingle      The Skulls      Dead Man's Curve      Urban Legend      Gossip      The in Crowd      On the Edge of Innocence      Floating      The Faculty      Cherry Falls      Ricochet River
38,Wonder Boys,2000,107 ,7.2,74,"65,353",$19.39M,/title/tt0185014/,https://www.imdb.com/title/tt0185014/,https://www.imdb.com//title/tt0185014/mediaviewer/rm4002427137/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2179072281/1434659607842-pgv4ql-1564541426828.mp4?Expires=1683977446&Signature=tsSOR62GvdR4u3eqr2eqZgH9ZV6OeRcfMJ9Ok8H0XyDx5fUUcAMAhdx~O9RUv-jokmK0QZBuExFasJ3X40trXNSp0Jca3ZWvZRi9kySXOAWzV99Gtd8PbFhuunQgtM~Ms8bQDXSt~B0FzF3Ow45gsmag66aPxg3yhlp3UnVAGvzt4s6KjTbrhhORxlmLo5at2Ufezn2rCtnLq4QFpeSfRvfb2pjMZsY1dwDjj2kukKvjnPcs-dAcoaTMiTVzXAnEvIW6k1~JKx5f8vTCsm-BJJFr5kwfdbSWXJxrchXv2m32FCOF4ibikQPJ1o2ZKoriIhC9sm81aeS1-xv-BXbh~A__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,ComedyDrama,"Curtis Hanson was a longtime fan of Bob Dylan, and personally approached the singer about writing a song for his movie adaptation. Dylan complied with ""Things Have Changed"", which went on to win him an Academy Award.",Michael DouglasGrady TrippTobey MaguireJames LeerFrances McDormandSara GaskellRobert Downey Jr.Terry CrabtreeKatie HolmesHannah GreenRip TornQRichard KnoxVernon HardappleJane AdamsOolaMichael CavadiasMiss SloviakRichard ThomasWalter GaskellAlan TudykTraxlerPhilip BoscoEmily's FatherGeorge GrizzardFred LeerKelly BishopAmanda LeerBill VelinOfficer PupcikCharis MichelsenCarrieYusuf GatewoodHowardJune HildrethEmily's Mother,      The Ice Storm      Pleasantville      The Cider House Rules    0Latter Days      High Fidelity      Election      Lucky You      To Die ForWonder Boys      Friends & Lovers      The Singing Detective      Chasing Mavericks
39,Return to Me,2000,115 ,6.9,54,"21,806",$32.66M,/title/tt0122459/,https://www.imdb.com/title/tt0122459/,https://www.imdb.com//title/tt0122459/mediaviewer/rm1168685824/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi4075929881/1434659607842-pgv4ql-1602694149560.mp4?Expires=1683977452&Signature=kwL9JgkBLO7NSu-FA-F3pHAQ4rD2gd8pm9wrtXQva0lZ1QYQ2SXfT2e3SWgAhbVFB8h9bsaV23ZSm9ptFkP-IqU8Lff2e-fzrVuI9F62RzkH2t6bSX3HydSYoJeUWGRwsEDzh4sprlu7yQxtrsx9Q0EohI4dlWMUELhIbPTH9DM9UGdmPkgQvBr20PJeluZin~oB2JYXStCTajCE0X36J-t8lfaR1sRKoslAn71yO75XBEhYYBA47-ggz689FyISo4ezGoAxhmUgSsGO5efURsqDScaYFAcJmBa5RCSw75b6K~2zYQjPZvkrfuyAPttvyYYNYc2UVO4HVqL8~XuMRg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,ComedyDramaRomance,Bonnie Hunt's brother is a physician at Michael Reese Hospital in Chicago. He arranged for the hospital to be used as a setting in the film.,David DuchovnyBob RuelandMinnie DriverGrace BriggsCarroll O'ConnorMarty O'ReillyRobert LoggiaAngelo PardipilloBonnie HuntMegan DaytonDavid Alan GrierCharlie JohnsonJoely RichardsonElizabeth RuelandEddie JonesEmmett McFaddenJim BelushiJoe Dayton(as James Belushi)Marianne MuellerleileSophieWilliam BronderWally JatczakBrian HoweMikeChris BarnesJeffAdam TanguayAdam DaytonKarson PoundKarson DaytonTyler SpitzerTyler DaytonLaura LarsenLaura DaytonAustin Samuel HibbsAustin Dayton,      Circle of Friends      Sabrina      The Cutting Edge      My Big Fat Greek Wedding      Fools Rush In      The Truth About Cats & Dogs      Trust the Man      While You Were SleepingReturn to Me      Serendipity      One Fine Day    0Someone Like You
40,Yi yi,2000,173 ,8.1,94,"26,116",$1.14M,/title/tt0244316/,https://www.imdb.com/title/tt0244316/,https://www.imdb.com//title/tt0244316/mediaviewer/rm1766540800/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2271526425/1434659607842-pgv4ql-1596209626040.mp4?Expires=1683977457&Signature=ts-A1~MgEMSw1ln4L5ZKbcwUOzFU0nBZgVsSqNWMF4N1DZr4kv1UGgR6tGNfGthEI6hoejNAI4c4ie6i1Oa3FqotbSTieP3qVTCMmxdjxCSUoZ~KPvrvb3Rco985NCQ61VU7~~O-TPoc98S2uqIe-ttfTawKO1SSxmLxdxTkuXnkKz4sK1fE1AYzj~N-ixsV5PNdzhT3cc7KfddVQ8KuMJTGw~o5BBlRPjMTh~l~w2Ik9e5WDMIeIrRahxF0YXasMc2I2OXEJUbjEO24d96sqU89w46wTOsgH05E-wNw4R0d0qEi3TfWgHmdtLycvl-WPAPAd2UrLHjlaGXlKfQSBA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,DramaRomance,"Although Yi Yi: A One and a Two... (2000) is often regarded as one of the greatest Taiwanese films ever made, it was not officially released to the public in Taiwan until 2017.",Nien-Jen WuN.J.(as Nianzhen Wu)Elaine JinMin-MinIssei OgataMr. OtaKelly LeeTing-TingJonathan ChangYang-YangHsi-Sheng ChenA-Di(as Xisheng Chen)Su-Yun KoSherry Chang-Breitner(as Suyun Ke)Chuan-cheng TaoDada(as Michael Tao)Shu-shen HsiaoXiao-Yan(as Shushen Xiao)Meng-chin 'Adriene' LinLili(as Adrian Lin)Pang Chang YuPangzi(as Yupang Chang)Ru-Yun TangGrandma(as Ruyun Tang)Shu-Yuan HsuMrs. Jiang(as Shuyuan Xu)Hsin-Yi TsengYunyun(as Xinyi Zeng)Yung-Feng LeeMigo(as Yungfeng Li)Shi-hui ChinNancy(as Shihui Jin)Jie WuWu JieKuo-Chih ShuShu Ge(as Guozhi Shu),      A Brighter Summer Day      The Terrorizers      Farewell My Concubine      Taipei Story      To Live      In the Mood for Love    0Chungking Express      Du li shi dai      Ma jiang      Love Letter      Happy Together    0Nobody Knows
41,Proof of Life,2000,135 ,6.3,45,"57,961",$32.60M,/title/tt0228750/,https://www.imdb.com/title/tt0228750/,https://www.imdb.com//title/tt0228750/mediaviewer/rm267099904/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3114074393/1434659607842-pgv4ql-1563716248089.mp4?Expires=1683977462&Signature=WcpvBCEiuPR9rWnDAs5R4tMfyFYpgSqYbFA~YkYqoCgSHOLlOOMn2OTSkxeHmRrgTQAcTbrVPuhlZbS-GntfWohzM8o7xUJic7P3GgdHPGceI7dnOlwopzygdOhe9h~zrPbduqGg71Y5P9uhDeeFH0nD8p64yujLBOG2uTCgKOtYNk7V-ycPi8mlULHTHFI55iVr41ks~GxVtiAGvvnyMEfMSL~AmGZN8KIgvyWEjD5uOxihLXs1~v28e23b7x69-UYkJiK7obuF9V4VdFHJUs~A3huORW9klCE9co8FnMU8zplkLa9McUcG4GWh5Y~rt~AryLRsU7norysuM2TXDw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,ActionDramaThriller,"During a break in filming at Stowe School in Buckinghamshire (where Russell Crowe's character watches his son play rugby union), one of the extras asked Russell Crowe for some acting advice. After their conversation, Crowe remembered the student's serious interest in acting and sent him autographed posters and photos from his film, Gladiator (2000), and wrote a letter saying, ""A journey of thousand miles begins with a single step."" The extra, Henry Cavill, went on to pursue his acting career and ultimately landed the role of Superman in Man of Steel (2013), with Crowe playing his father.",Meg RyanAlice BowmanRussell CroweTerry ThorneDavid MorsePeter BowmanPamela ReedJanis GoodmanDavid CarusoDinoAnthony HealdTed FellnerStanley AndersonJerryGottfried JohnEric KesslerAlun ArmstrongWyattMichael KitchenIan HaveryMargo MartindaleIvyMario Ernesto SánchezArturo Fernandez(as Mario Ernesto Sanchez)Pietro SibilleJuacoVicky HernándezMaria(as Vicky Hernandez)Norma MartínezNorma(as Norma Martinez)Diego TrujilloEliodoroAristóteles PichoSandroSarahi EcheverriaCinta(as Sarahi Echeverría),"      State of Play      Rules of Engagement      Mystery, Alaska    0Cinderella Man      Courage Under Fire      Addicted to Love      The Next Three Days      The Recruit      The Insider      Heaven's Burning    0Body of Lies      The Jackal"
42,Bless the Child,2000,107 ,5.1,17,"14,996",$29.37M,/title/tt0163983/,https://www.imdb.com/title/tt0163983/,https://www.imdb.com//title/tt0163983/mediaviewer/rm3905226240/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1446757401/1434659607842-pgv4ql-1678739351986.mp4?Expires=1683977466&Signature=fCbAfTyW2Hi5xFPmT8QQr23unZoLEwNTIuTuMNh18BgmKUX2tMCkuLr3oV072o4Y59K5H01Qtp4lkTzmFglDG-AgRJ~XdEpEwbgdLQ4qK8UtEezzo30m156m8w9eLgDh9H65RHWscROS6eXDP12Q7-YkH6xsUo2-kEhI4nJj2t8MOOJuKwraUmCjOZ33QR8hizxp9Wd2XfAAQHA~9w10-gj3uy8oCvuX52b6X0tWfQV82xN-jaTHaC1CoNf~5o~CDPVlkmFnWL0rLEdp2eahdkG-VAkFYSewKMZmR9MMaHFyt4GcHDc8p-f4dEi6w5coR2SG4tDiZXCK63wJzthEKg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,CrimeDramaHorror,"The line, ""The devil's greatest trick was convincing man that he didn't exist,"" is reminiscent of a similar line in another movie of the same genre, End of Days (1999), in which Father Kotak (Rod Steiger) says: ""Satan's greatest trick was convincing man that he didn't exist"". It is also similar to The Usual Suspects (1995), where the line is, ""The greatest trick the devil ever pulled was convincing man that he didn't exist"". In fact, that idea goes back to Charles Baudelaire (1821-1867): ""La plus belle des ruses du Diable est de vous persuader qu'il n'existe pas!"" (English: ""The finest trick of the devil is to persuade you that he does not exist.""",Kim BasingerMaggie O'ConnorJimmy SmitsJohn TravisRufus SewellEric StarkHolliston ColemanCodyAngela BettisJennaChristina RicciCheriMichael GastonDet. Frank BugattiLumi CavazosSister RosaDimitra ArlissDahnya(as Dimitra Arlys)Eugene LipinskiStuartAnne BetancourtMariaIan HolmReverend GrissomHelen StenborgSister JosephMatthew LemcheNew Dawn Kid at VanDan Warry-SmithNew Dawn KidElisabeth RosenNew Dawn KidTony Del RioNew Dawn KidNicole LynNew Dawn Kid,      Lost Souls      The Tank      Mimesis      Body Melt      Sorority House Massacre      Fierce People      Sector         Candyman   Day of the Dead      True Crime Scene      Stolen Tango      The Gift      R  S  V  P  
43,Tigerland,2000,101 ,6.9,55,"42,168",$0.14M,/title/tt0170691/,https://www.imdb.com/title/tt0170691/,https://www.imdb.com//title/tt0170691/mediaviewer/rm961699328/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1643577625/1434659607842-pgv4ql-1564186387081.mp4?Expires=1683977471&Signature=XfPU3F46jTJf19ZHTo4c~fNTUI9WX~qk~0xF30hG98IsLf2NeYmjmJZuFG3eGa1iLFBQaQ7yxE5Q2fzcBb7LQTF4jKyQKDPC3mUZInEmx-OicMh-6SDF5QPMYtpfA-j3ikh0FLBA1Vur6N9CSl6FoOBRbz0chtbTMKmhQtKLmOoUpDNHOZ1Eg0V2Yynv9tzlSW~azXXlDjotqbeTCp7rvXUkD3OimEABH9Lb5uuSR-40MZiSoUkNaLgMVx6m2obdmIb2lUfUx~wKFnrO3N4OihtFwG7uJe3TI2N8LPQpDfaAZKEWW3ecvmZPTjzg~reCHV5NL-Ty1KY8XO7REd1dkA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,DramaWar,"The actors had no trailers, make-up artists, hairstylists, chairs or any of the typical luxuries.",Colin FarrellPvt. Roland BozzMatthew DavisPvt. Jim PaxtonClifton Collins Jr.Pvt. MiterTom GuiryPvt. Cantwell(as Thomas Guiry)Shea WhighamPvt. WilsonRussell RichardsonPvt. JohnsonNick SearcyCapt. SaundersAfemo OmilamiSFC Ezra LandersJames MacDonaldStaff Sgt. Thomas(as James McDonald)Keith EwellSgt. OakesMatt GeraldSgt. EvelandStephen FultonSgt. DrakeTyler CravensM.P. SergeantMichael EdmistonHit the Brakes! DriverArian AshSheriHaven GastonClaudiaMichael ShannonSgt. FilmoreRoger FloydDead Truck Driver,      Hart's War      Phone Booth      Veronica Guerin      Hamburger Hill      The Recruit      Ordinary Decent Criminal      Buffalo Soldiers      Falling for a Dancer      Drinking Crude      American Outlaws      Windtalkers      Flawless
44,You Can Count on Me,2000,111 ,7.5,85,"30,596",$9.18M,/title/tt0203230/,https://www.imdb.com/title/tt0203230/,https://www.imdb.com//title/tt0203230/mediaviewer/rm1477122816/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi4232887833/1434659607842-pgv4ql-1598640717626.mp4?Expires=1683977476&Signature=BQ0E5XiJNIsGRZAFefKLsuFFquff2KfKiFGW1cvfVnArROt12zfMHzzfa2Z-32Edgrq40O~lUykVGSLlpLhjBhPA20jvt87OXh23RSuHE8S3rBMk2iVZFoROhq5q9hYeloljCp7kciCxtLOMnBkWANlBxvG92bKYZqzWyQe8tMX12mwTounINJAM4q4Maqg25psmL0u-JP7s1jgHZOsUXgbQfuk7ThVq7HkEKeE7jIqPSQgNDFlDEtKM1rnXh6bBhegDZ9bvt8eW~Sr7DUBCKy5PaaJxd9B7JZb9HC6YGXRDUXneG5K8qo79WkQd1hKm9XyNOJ-qTZlplSbjwpM1vQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,Drama,"Kenneth Lonergan plays Minister Ron in two major scenes counseling Terry at Sammy's house, and then counseling Sammy in his office. Since Lonergan had a lot of dialogue in those two scenes, he turned over the directing to Laura Linney and Mark Ruffalo, respectively.",Laura LinneySammyMatthew BroderickBrianAmy RyanMrs. PrescottMichael CountrymanMr. PrescottAdam LeFevreSheriff DarrylHalley FeifferAmyWhitney VanceYoung SammyPeter KerwinYoung TerryBetsy AidemMinisterRory CulkinRudyJ. Smith-CameronMabelJon TenneyBobGaby HoffmannSheilaMark RuffaloTerryLisa AltomareWaitressKenneth LonerganRonNina GarbirasNancyRichard HummerPlumber,      Margaret      The Savages      In the Bedroom      The Station Agent      In America      The Sweet Hereafter      The Ice Storm      The Visitor      Kinsey      ElectionLike Father      The Squid and the Whale
46,Chopper,2000,94 ,7.1,68,"40,150",$0.23M,/title/tt0221073/,https://www.imdb.com/title/tt0221073/,https://www.imdb.com//title/tt0221073/mediaviewer/rm3954520833/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1525678361/1434659607842-pgv4ql-1563664919164.mp4?Expires=1683977482&Signature=T~kkTUj9lXiPl0t0rLuBiT6Vi2PR0DwmlcsekFluBD3zhJV5p007MExSiXKh6GFbHv6oRHiaNbU5HRAI3e8jWe4-0fDgm5iZEQTJN67feHB59gqOmfrJywdv~OgVe7K09gbyPwtcez7rvTIZAVfp3yXzXxc-8UQ1OmXM8AlPmxy7XxnXbMq6DYbPORYkX0naxvuj9DdxohVAyGhRtlHGFtLn5RhEH1ieTq9fZUnk2DhWkT~WrLhLaD9wd8ehiadJryjbmV1ZPuW3xyv91XprvYbzcmKiPoYi1wxD0Wcz3ikIPUbmWVMMYmYPS0L38vQeSnRVM4bgrymMCAqKUZpaLQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,BiographyCrimeDrama,Eric Bana spent two days living with Mark Brandon Read so he could get a better understanding of how to play his character in the film.,Eric BanaChopperSimon LyndonJimmy LoughnanVince ColosimoNeville BartosRenée BrackTelevision Interviewer(as Renee Brack)Gregory PittPrison Officer #1Richard SutherlandPrison Officer #2David FieldKeithy GeorgeDan WyllieBlueyGary WaddellKevin DarcyAndrew DunnPrison Officer #3Caleb CluffDetective CreswellHilton HendersonDetective WyattFred BarkerGov. BeasleyAlan CloseMedical OfficerCarl PriceBrunswick Court JudgeMark StratfordClassification OfficerKate BeahanTanyaKenny GrahamKeith Read,      Sexy Beast    0Bronson      Killing Them Softly      Dead Man's Shoes      Romper Stomper      The Assassination of Jesse James by the Coward Robert Ford      Once Were Warriors      This Much I Know to Be True      This Is England      Four Lions      One More Time with Feeling      Scum
47,The Little Vampire,2000,95 ,5.7,45,"10,894",$13.57M,/title/tt0192255/,https://www.imdb.com/title/tt0192255/,https://www.imdb.com//title/tt0192255/mediaviewer/rm1779996672/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi804258073/1434659607842-pgv4ql-1564210266454.mp4?Expires=1683977486&Signature=iNz8zfDe4rIv29ryfpt7eMQ21f2sNWO1Zl8GtS5n9fcKHiYpyq0HLGHYNJckYg6QL9XLPda~~mpJeicYYII3czWRqH14LirzI0TAgEObADktYr8kqGIZ~eKCs9BMUPk8s2gXBYs9ZrybBfoPW1HH-IQpwT1ff1B~3w6iW4NdoYwNBtKY1Uepa3CI11gDLksEyEMagN3V8~E4Q5oNBNB3puZKp2qY82smD8WMg-bppJKaIV4DTUJo4wJbVo2RJfElj~DZeO1sN9VXx-paGijkMZX9asZFHWvwetm~xEhj0WpaPg8wFzacq8xRKeiQksEL325Ex8EvqTXPm1AWBvgNlQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,AdventureComedyFamily,"The family name ""Sackville-Bagg"" in this film is a reference to J.R.R. Tolkien's Lord of The Rings. Bilbo and Frodo Baggins are related to the Sackville Bagginses.",Jonathan LipnickiTony ThompsonRollo WeeksRudolph Sackville-BaggRichard E. GrantFrederickJim CarterRookeryAlice KrigeFredaPamela GidleyDottie ThompsonTommy HinkleyBob ThompsonAnna PopplewellAnna Sackville-BaggDean CookGregory Sackville-BaggJohn WoodLord McAshtonEd StoppardVon Sackville-BaggJake D'ArcyFarmer McClaughlinIain De CaesteckerNigelScott FletcherFlintJohnny MeresTeacherGeorgie GlenBabysitter LornaElizabeth BerringtonElizabeth McAshtonHarry JonesCaretaker,      Casper Meets Wendy      Mom's Got a Date with a Vampire      Halloweentown II   Kalabar's Revenge      Halloweentown    0Stuart Little      The Little Vampire   D    0Ice Princess      Under Wraps      Twitches      Cats & Dogs      Babe   Pig in the City      Hoot
48,Shadow of the Vampire,2000,92 ,6.9,71,"42,962",$8.29M,/title/tt0189998/,https://www.imdb.com/title/tt0189998/,https://www.imdb.com//title/tt0189998/mediaviewer/rm2540131328/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi931594521/1434659607842-pgv4ql-1563523217216.mp4?Expires=1683977492&Signature=qCltK7hdZfIgWPMUT9tm-Hny65rjZI8QV8VoMcfsIDOkOkLBvXOfW8G6GGjVvwmMOIXkVFsyys4vIBMA6pT3JH3obrpd9woRLge4-7YTszK6uQxxr2rdeaMKRp5TiSY5qe29nwSotdMMQKThpQzK-AQXmwu7mVSIt031tM5ar388F-ZjSblUwjHvPBDFywIbr3Sy6Am6rfKhP7xtPvAxE~Tfw67Wso9z38uvFlsUWKhpejYpPWe5ALqtOB5d~KP1~DGjJ~uRis1W6kIyKv3r8YyhqHihhkOItyRR8Qda8WUtyv8ZmoFIp-~G2OISxwwRtgm8jICbX08MLgdzF41-GQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,DramaHorror,"Based in part upon a legend that Max Schreck was in reality a vampire which is why he played the role of Orlock/Dracula so well. Some variations of the legend suggest that Nosferatu (1922) was the only film Schreck made, though in reality he was already a stage and screen veteran by the time Nosferatu was shot, and would appear in many non-vampiric roles before his death in 1936.",John MalkovichFriedrich Wilhelm MurnauWillem DafoeMax SchreckUdo KierAlbin GrauCary ElwesFritz Arno WagnerCatherine McCormackGreta SchröderEddie IzzardGustav von WangenheimAden GillettHenrik Galeen(as John Aden Gillet)Nicholas ElliottPaul - Camera Assistant(as Nicholas Elliot)Ronan VibertWolfgang MullerSophie LangevinElke - Makeup AssistantMyriam MullerMaria - Script AssistantMilos HlavacInnkeeper(as Milos Hlavak)Marja-Leena JunkerInnkeeper's WifeDerek KueterReporter 1Norman GolightlyReporter 2Patrick HastertReporter 3Sascha LeyDrunken Woman(as Sacha Ley)Marie-Paule von RoesgenOld Woman(as Marie Paule Van Roesgen),      Nosferatu the Vampyre      NosferatuPolia & Blastema      Dracula      Begotten      Din of Celestial Birds      Dracula      The Bride of Frankenstein      God Is in the T  V      0Lest We Forget   The Video Collection      Ravenous      Vampire's Kiss
49,Get Carter,2000,102 ,5.1,24,"35,496",$14.97M,/title/tt0208988/,https://www.imdb.com/title/tt0208988/,https://www.imdb.com//title/tt0208988/mediaviewer/rm512071936/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi550306585/1434659607842-pgv4ql-1564119619716.mp4?Expires=1683977497&Signature=c66ukyVJK7G5Ay~A~g8SzeBjW6NoDwim4iONKM2hAohYmWrCxfQKC9DQYyLoI~QbsZXEEV1U4ttFipejKW5j6P0HFGtUPxZ4nRfHOIGHhZlbunAB9LilBivI1c4XgmTKHIBHPQJ8qW51499obYc~vrxFiL7MjT~c3cAx346gymmYcqwCygb6qi8tTO5QFSdnMkaH6SojaZwPJPAQwvYIl17oVMqn5DvqaoQWvCbbgLT8jQYydd~NNwNpy4vVLdhAI9Jt8mk86Ek9lCNARb9uwisM8yU3nPzuW2mkwDMbRtKqSL~vbM3eaIp1wUL0EGVkcviXMdr2OXI26Z5m2LSCJQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,ActionCrimeDrama,"One of the reasons why Sir Michael Caine agreed to appear in this remake to one of his best movies as it afforded him the chance to work with his friend, Sylvester Stallone. The two had bonded when they made John Huston's Victory (1981).",Sylvester StalloneJack CarterRachael Leigh CookDoreenMiranda RichardsonGloriaRhona MitraGeraldineJohnny StrongEddieJohn C. McGinleyCon McCartyAlan CummingJeremy KinnearMichael CaineCliff BrumbyJohn CassiniThorpeyMickey RourkeCyrus PaiceMark Boone JuniorJim Davis(as Mark Boone Jr.)Garwin SanfordLes FletcherDarryl ScheelarSecurity GuardYan-Kay Crystal LoweGirl #1(as Crystal Lowe)Lauren Lee SmithGirl #2(as Lauren Smith)John MoorePriestTyler LabineBud #1Mike CookRichard Carter(as Michel Cook),      The Specialist      Avenging Angelo      Assassins      Daylight      Driven      Eye See You      Bullet to the Head      Cobra      Lock Up      Tango & Cash      Over the Top      Get Carter
